file,module,lines,sha256
applications/fintech-application/ledger-domain/src/main/java/com/bikash/fintechsettlement/ledger/domain/account/AccountScope.java,applications/fintech-application/ledger-domain,27,0873a37b47fe7371f325411f5a5a57f9225c8967b31873fe0235c083cbf1b913
applications/fintech-application/ledger-domain/src/main/java/com/bikash/fintechsettlement/ledger/domain/account/LedgerAccount.java,applications/fintech-application/ledger-domain,42,81db3984bba3ab101d0755851f152f5d76b2571bf515b0359f5c0cbf55d987e9
applications/fintech-application/ledger-domain/src/main/java/com/bikash/fintechsettlement/ledger/domain/account/LedgerAccountId.java,applications/fintech-application/ledger-domain,23,a1e0caf4bc42e069017ee2a4b5f8f864f286e9ea2bae85c4c2bd62c6836318cb
applications/fintech-application/ledger-domain/src/main/java/com/bikash/fintechsettlement/ledger/domain/account/LedgerAccountRole.java,applications/fintech-application/ledger-domain,27,eabb97e40455296d8d08564cda3184d313d0bb95eb4ffb7b529977d835210028
applications/fintech-application/ledger-domain/src/main/java/com/bikash/fintechsettlement/ledger/domain/account/LedgerAccountStatus.java,applications/fintech-application/ledger-domain,6,9fafa5443f24a8bb15e79986006601da532ec28bcd2d62481db698af0829afb5
applications/fintech-application/ledger-domain/src/main/java/com/bikash/fintechsettlement/ledger/domain/account/LedgerAccountType.java,applications/fintech-application/ledger-domain,21,609c8e940ca3ae9041ec3798e31fae03c841ae74d7edd709ef91d972ae3dfb29
applications/fintech-application/ledger-domain/src/main/java/com/bikash/fintechsettlement/ledger/domain/account/ScopeKind.java,applications/fintech-application/ledger-domain,6,8dca04bb7e774a39d7f0f60f9a75f0c18c53e9f1fbc3eee41b4a802ceb0615d6
applications/fintech-application/ledger-domain/src/main/java/com/bikash/fintechsettlement/ledger/domain/error/DuplicateLedgerAccountException.java,applications/fintech-application/ledger-domain,7,71df315367a26c7e20dc78bca5928cb05c3bd30dad83f09404387c03e83b0ada
applications/fintech-application/ledger-domain/src/main/java/com/bikash/fintechsettlement/ledger/domain/error/DuplicateLedgerTransactionException.java,applications/fintech-application/ledger-domain,7,50470fd73154b7078a9d0bbf00bd39d5a3d15c15528cb78af30ad97e7e2182b3
applications/fintech-application/ledger-domain/src/main/java/com/bikash/fintechsettlement/ledger/domain/error/InvalidLedgerAccountException.java,applications/fintech-application/ledger-domain,7,2a47feb9abaa8c100c960fa45f87c07df360ceedbd70f5ecf6219f860caafda1
